symbol,liab_exp,wc_exp,inv_exp,recv_exp,fixed_exp,liab_exp_high,wc_exp_high,inv_exp_high,recv_exp_high,fixed_exp_high,double_exposure,physical_chain,receivable_heavy,rollover_assetlight,shock_amp_score,shock_amplifier,trade_credit_chain
EVE,0.7667090134609435,0.1860574590536405,-0.1080103542720207,0.5357669037948694,-0.6407902525080779,1,1,1,1,0,1,0,1,1,0.952766472514584,1,1
EVF,-1.0484422166061964,-0.8479796951448833,-0.8907812117800299,-0.3988121756783128,-0.6476107720479494,0,0,0,0,0,0,0,0,0,-1.8964219117510797,0,0
FCM,-0.6303186724185313,-0.6201300996532778,-0.7691460364617269,-0.0412699572393418,-0.632841249352456,0,0,0,1,0,0,0,0,0,-1.250448772071809,0,0
FCN,0.7658697921256696,0.715801287466653,0.026630125332643,1.2667972357944601,-0.6140542235660732,1,1,1,1,0,1,0,1,1,1.4816710795923225,1,1
FIR,1.7712839009706584,1.495425942750912,0.7720698659096483,1.3448037142776108,-0.6330251608143329,1,1,1,1,0,1,1,1,1,3.2667098437215704,1,1
FIT,0.4212854859092754,0.0455055283394783,-0.1382493486399332,0.4218518118570928,-0.6496350943363044,1,1,1,1,0,1,0,1,0,0.4667910142487537,0,1
FMC,0.1269349639285302,1.018755651928323,1.0202542916648326,0.4056384193724537,-0.576753548980172,1,1,1,1,0,1,1,1,0,1.1456906158568532,1,0
FPT,-0.7630996780791253,-0.5732836229541876,-0.6402192929419983,-0.2095946270524043,-0.6003037827561261,0,0,0,1,0,0,0,0,0,-1.3363833010333128,0,0
FRT,0.8791037150170788,0.9205325934063466,0.4956182652264607,0.8764925779812799,-0.6486787514833032,1,1,1,1,0,1,0,1,1,1.7996363084234254,1,1
G36,1.2570997035524265,0.2173990315179126,-0.3105808906430151,0.9403588079874323,-0.6311378712955058,1,1,0,1,0,1,0,1,1,1.4744987350703391,1,1
GAS,-0.3631424417237602,-0.8176197405615944,-0.8753331082487865,-0.3071994578882633,-0.5079360880179492,0,0,0,1,0,0,0,0,0,-1.1807621822853546,0,0
GDT,-0.3031313360364536,-0.283558185952979,0.0950501822544636,-0.5082746037113516,-0.6060114229233111,0,0,1,0,0,0,1,0,0,-0.5866895219894326,0,0
GEG,0.6668962702546221,-0.6124665293000275,-0.840038616645224,0.0678566621255766,-0.2899573663108601,1,0,0,1,1,0,0,0,1,0.0544297409545946,0,1
GEX,1.575321909249406,0.4833165450912572,-0.3274369098361098,1.3324333130660094,-0.6495885588214124,1,1,0,1,0,1,0,1,1,2.0586384543406633,1,1
GIL,0.747349360032962,0.9374610143826952,1.508017069419684,-0.1426430447818989,-0.5858379919910735,1,1,1,1,0,1,1,0,1,1.6848103744156573,1,0
GKM,0.9592198384714237,0.9422711370760133,0.8741663667927413,0.4270161216948904,-0.6217148332818077,1,1,1,1,0,1,1,1,1,1.901490975547437,1,1
